# The engine refusal table.
# GENERATED by scripts/gen-engine-messages.py; reviewed as a git diff and
# committed. Never hand-add a row: the pytest gate
# (tests/test_engine_messages.py) re-sweeps the engine and fails when this
# file diverges from what src/engine/*.py actually raises.
#
# Engine messages stay ENGLISH at the engine. This table is how the RENDERER
# recognizes one: `message` is matched verbatim (kind=exact) or as a template
# whose {{name}} placeholders capture the interpolated values (kind=pattern),
# and `key` names the catalog entry (engine.<key>) that renders it in the UI
# language. A message NOT in this table passes through verbatim — nothing is
# ever swallowed. Keys are STABLE: rewording a message keeps its key.
key	kind	modules	message
accessibility.unknownAccessibilityCategoryExpected	pattern	accessibility	unknown accessibility category '{{category}}' (expected one of: {{v1}})
accessibility_fixes.automaticAccessibilityFixExists	pattern	accessibility_fixes	no automatic accessibility fix exists for {{v0}} (the automatic ones are: {{v1}})
accessibility_fixes.documentCertifiedAllowChanges	exact	accessibility_fixes	this document is certified to allow no changes, so clearing the suspects flag would produce a file that reports as illegally modified
accessibility_fixes.documentCertifiedAllowChanges2	exact	accessibility_fixes	this document is certified to allow no changes, so naming its attached files would produce a file that reports as illegally modified
accessibility_fixes.documentSignedClearingSuspects	exact	accessibility_fixes	this document is signed and clearing the suspects flag invalidates its signatures -- the run must state that signed documents are included before it will touch one
accessibility_fixes.documentSignedNamingAttached	exact	accessibility_fixes	this document is signed and naming its attached files invalidates its signatures -- the run must state that signed documents are included before it will touch one
accessibility_fixes.thereNothingHereFix	exact	accessibility_fixes	There is nothing here for that fix to repair.
acroform.containsXmlFormXfa	pattern	acroform	{{v0}} contains an XML form (XFA). Page operations would detach the form from its pages, so {{operation}} is not available for this document. Fill the form, or flatten it with another tool first.
acroform.regeneratedFileSPage	exact	acroform,widget_faces	The regenerated file's page count differs from the original; cannot reattach its form fields.
annotations.commentAnnotationSubtype	pattern	annotations	not a comment annotation subtype: {{v0}}
attachments.attachmentNamed	pattern	attachments	no attachment named {{name}}
attachments.attachmentNamedAlreadyExists	pattern	attachments	an attachment named {{attach_name}} already exists
attachments.sourceFileFound	pattern	attachments,portfolio	source file not found: {{source}}
autotag.documentAlreadyTaggedRefine	exact	autotag	This document is already tagged. Refine its tags in the Tags panel instead of re-tagging automatically.
autotag.nothingTaggableFoundDocument	exact	autotag	Nothing taggable found — the document has no text blocks or images to build a structure from.
batch_ocr.copiedCouldRemoveOriginal	pattern	batch_ocr	copied to {{target}} but could not remove the original {{src}}: {{exc}} -- the file now exists in BOTH places
batch_ocr.destinationFolderRequiredUnless	exact	batch_ocr,guided_actions,preflight_sweep	A destination folder is required unless running in place.
